# Example Raman spectrum for graphene (simulated)
# Wavenumber (cm-1), Intensity
1200,120
1220,125
1240,130
1260,135
1280,145
1300,165
1320,210
1340,380
1350,520
1360,410
1370,290
1380,200
1390,170
1400,150
1420,145
1440,148
1460,155
1480,165
1500,180
1520,210
1540,280
1560,450
1580,780
1590,520
1600,360
1620,250
1640,200
1660,175
1680,165
1700,160
1750,155
1800,150
1850,148
1900,150
1950,155
2000,160
2100,165
2200,175
2300,185
2400,195
2500,210
2550,235
2600,280
2650,410
2680,580
2700,850
2720,720
2740,490
2760,350
2780,270
2800,220
2850,190
2900,175
2950,165
3000,160
